Date,Price,Open,High,Low,Vol.,
3-Dec-19,60.82,61.05,61.58,60.3,248.55,
2-Dec-19,60.92,60.73,62.09,60.72,297.87,
29-Nov-19,62.43,63.77,63.86,62.36,19.65,
28-Nov-19,63.87,63.91,64,63.19,96.08,
27-Nov-19,64.06,64.02,64.6,63.51,125.47,
26-Nov-19,64.27,63.7,64.32,63.44,181.1,
25-Nov-19,63.65,63.6,63.8,62.97,212.05,
22-Nov-19,63.39,63.62,64.27,62.98,228.74,
21-Nov-19,63.97,62.22,64.03,61.92,318.49,
20-Nov-19,62.4,60.94,62.8,60.3,343.31,
19-Nov-19,60.91,62.28,62.57,60.7,296.8,
18-Nov-19,62.44,63.36,63.57,61.94,228.25,
15-Nov-19,63.3,62.47,63.65,61.7,255.68,
14-Nov-19,62.28,62.61,63.21,62.15,234.78,
13-Nov-19,62.37,61.85,62.74,61.22,273.03,
12-Nov-19,62.06,62.11,62.85,61.82,238.17,
11-Nov-19,62.18,62.6,62.76,61.57,213.34,
8-Nov-19,62.51,62.29,62.7,60.66,287.67,
7-Nov-19,62.29,61.73,62.89,61.65,261.07,
6-Nov-19,61.74,62.78,63.32,61.59,275.94,
5-Nov-19,62.96,62.04,63.19,61.85,231.67,
4-Nov-19,62.13,61.8,62.78,61.28,235.38,
1-Nov-19,61.69,59.45,61.82,59.4,236.09,
31-Oct-19,60.23,60.57,61.13,60.07,13.9,
30-Oct-19,60.61,61.6,61.93,60.45,105.87,
29-Oct-19,61.59,61.61,61.98,60.66,136.93,
28-Oct-19,61.57,62.04,62.34,61.19,167.86,
25-Oct-19,62.02,61.5,62.11,60.93,204.45,
24-Oct-19,61.67,60.99,61.9,60.64,215.54,
23-Oct-19,61.17,59.48,61.3,58.85,313.23,
22-Oct-19,59.7,59.05,60.26,58.75,260.6,
21-Oct-19,58.96,59.23,59.55,58.26,212.57,
18-Oct-19,59.42,59.78,60.29,59.01,228.14,
17-Oct-19,59.91,58.99,60.04,58.69,269.84,
16-Oct-19,59.42,58.9,59.75,58.36,257.88,
15-Oct-19,58.74,59.3,59.68,58,305.68,
14-Oct-19,59.35,60.69,60.73,58.5,283.07,
11-Oct-19,60.51,59.53,60.69,59.21,367.63,
10-Oct-19,59.1,58.04,59.6,57.8,262.53,
9-Oct-19,58.32,58.02,59.35,57.91,266.48,
8-Oct-19,58.24,58.47,58.92,57.38,274.74,
7-Oct-19,58.35,58.02,59.68,58.02,228.41,
4-Oct-19,58.37,57.69,58.96,57.67,299.92,
3-Oct-19,57.71,57.54,57.99,56.15,336.9,
2-Oct-19,57.69,59.25,59.5,57.22,307.91,
1-Oct-19,58.89,59.38,60.1,58.41,291.67,
30-Sep-19,60.78,62.24,62.24,60.73,22.01,
27-Sep-19,61.91,62.48,62.75,60.76,97.33,
26-Sep-19,62.74,62.58,62.92,61.45,115.57,
25-Sep-19,62.39,62.44,62.81,61.23,201.47,
24-Sep-19,63.1,64.4,64.6,62.3,216.28,
23-Sep-19,64.77,65.23,65.5,63.53,204.78,
20-Sep-19,64.28,65,65.28,64.05,224.88,
19-Sep-19,64.4,63.51,65.57,63.46,258.85,
18-Sep-19,63.6,64.23,64.99,63.04,295.05,
17-Sep-19,64.55,68.15,69.26,63.55,620.49,
16-Sep-19,69.02,66.45,71.95,64.75,735.54,
13-Sep-19,60.22,60.45,60.81,59.6,195.83,
12-Sep-19,60.38,61.16,61.39,58.92,358.09,
11-Sep-19,60.81,62.88,63.27,60.52,315.12,
10-Sep-19,62.38,62.82,63.78,62.17,267.55,
9-Sep-19,62.59,61.6,63,61.57,249.71,
6-Sep-19,61.54,60.81,61.88,59.4,287.36,
5-Sep-19,60.95,60.49,62.4,60.25,292.06,
4-Sep-19,60.7,58.17,60.96,58.13,283.1,
3-Sep-19,58.26,58.54,58.87,57.23,265.12,
2-Sep-19,58.66,58.8,59.26,58.1,121.64,
30-Aug-19,60.43,60.98,61.17,60.25,25.14,
29-Aug-19,61.08,60.48,61.19,59.98,131.09,
28-Aug-19,60.49,60.04,61,59.8,134.26,
27-Aug-19,59.51,58.8,60.17,58.51,218.37,
26-Aug-19,58.7,58.35,60.17,58.24,183.3,
23-Aug-19,59.34,60.11,60.29,58.3,321.24,
22-Aug-19,59.92,60.43,60.89,59.47,276.11,
21-Aug-19,60.3,60.11,61.41,60.07,269.68,
20-Aug-19,60.03,59.68,60.32,58.95,245.25,
19-Aug-19,59.74,58.72,59.92,58.64,211.45,
16-Aug-19,58.64,58.41,59.5,58.28,209.43,
15-Aug-19,58.23,59.07,59.42,57.67,298.67,
14-Aug-19,59.48,61.07,61.08,58.21,320.43,
13-Aug-19,61.3,58.47,61.5,58,338.08,
12-Aug-19,58.57,58.3,58.88,57.88,221.35,
9-Aug-19,58.53,57.74,59.1,57.11,281.8,
8-Aug-19,57.38,57.48,58.01,56.77,299.69,
7-Aug-19,56.23,58.68,59.23,55.88,485.19,
6-Aug-19,58.94,59.56,60.56,58.55,328.15,
5-Aug-19,59.81,61.46,61.56,59.66,378.86,
2-Aug-19,61.89,61.16,62.95,60.98,364.14,
1-Aug-19,60.5,64.09,64.54,60.02,433.72,
31-Jul-19,65.17,64.95,65.42,64.95,18.76,
30-Jul-19,64.72,63.91,65.14,63.9,86.1,
29-Jul-19,63.71,63.32,63.9,62.92,101.7,
26-Jul-19,63.46,63.28,63.96,63.01,159.86,
25-Jul-19,63.39,63.21,64.23,63.01,169.84,
24-Jul-19,63.18,64.13,64.66,62.59,301.51,
23-Jul-19,63.83,63.26,64.46,62.66,272.73,
22-Jul-19,63.26,63.05,64.03,62.77,267.78,
19-Jul-19,62.47,62.5,63.37,61.83,298.98,
18-Jul-19,61.93,63.52,64.46,61.29,374.89,
17-Jul-19,63.66,64.44,65.28,63.22,274.93,
16-Jul-19,64.35,66.31,67.09,63.82,356.74,
15-Jul-19,66.48,66.87,67.47,66.11,283.09,
12-Jul-19,66.72,66.83,67.29,66.51,244.7,
11-Jul-19,66.52,66.81,67.65,66.43,283.02,
10-Jul-19,67.01,64.78,67.12,64.63,349.51,
9-Jul-19,64.16,63.81,64.75,63.76,263.89,
8-Jul-19,64.11,64.34,65.14,63.79,253.82,
5-Jul-19,64.23,63.27,64.52,62.91,203.54,
4-Jul-19,63.3,63.88,64.07,62.95,114.98,
3-Jul-19,63.82,62.9,64.01,62.09,282.11,
2-Jul-19,62.4,64.8,65.51,62.22,386.94,
1-Jul-19,65.06,65.05,66.75,64.22,361.41,
28-Jun-19,66.55,66.51,66.84,66.08,34.62,
27-Jun-19,66.55,66.05,66.82,65.63,103.16,
26-Jun-19,66.49,65.8,66.85,65.6,141.95,
25-Jun-19,65.05,64.89,65.98,64.17,205.8,
24-Jun-19,64.86,65.5,65.79,64.08,217.44,
21-Jun-19,65.2,64.86,65.76,64,257.92,
20-Jun-19,64.45,62.45,64.82,62.4,394.17,
19-Jun-19,61.82,62.4,62.55,61.4,320.06,
18-Jun-19,62.14,60.93,62.84,60.25,327.7,
17-Jun-19,60.94,62.07,62.37,60.74,236.16,
