DATE,BOGMBASEW
12/11/1996,462364
12/18/1996,462364
12/25/1996,469244
1/1/1997,469244
1/8/1997,466689
1/15/1997,466689
1/22/1997,458453
1/29/1997,458453
2/5/1997,458206
2/12/1997,458206
2/19/1997,461141
2/26/1997,461141
3/5/1997,461577
3/12/1997,461577
3/19/1997,461933
3/26/1997,461933
4/2/1997,465062
4/9/1997,465062
4/16/1997,465940
4/23/1997,465940
4/30/1997,465090
5/7/1997,465090
5/14/1997,466108
5/21/1997,466108
5/28/1997,469704
6/4/1997,469704
6/11/1997,468769
6/18/1997,468769
6/25/1997,471075
7/2/1997,471075
7/9/1997,475424
7/16/1997,475424
7/23/1997,471072
7/30/1997,471072
8/6/1997,473360
8/13/1997,473360
8/20/1997,474330
8/27/1997,474330
9/3/1997,477430
9/10/1997,477430
9/17/1997,474150
9/24/1997,474150
10/1/1997,475141
10/8/1997,475141
10/15/1997,478166
10/22/1997,478166
10/29/1997,479137
11/5/1997,479137
11/12/1997,483631
11/19/1997,483631
11/26/1997,488365
12/3/1997,488365
12/10/1997,488981
12/17/1997,488981
12/24/1997,498185
12/31/1997,498185
1/7/1998,496774
1/14/1998,496774
1/21/1998,486831
1/28/1998,486831
2/4/1998,485945
2/11/1998,485945
2/18/1998,489859
2/25/1998,489859
3/4/1998,490778
3/11/1998,490778
3/18/1998,490693
3/25/1998,490693
4/1/1998,492157
4/8/1998,492157
4/15/1998,495824
4/22/1998,495824
4/29/1998,493096
5/6/1998,493096
5/13/1998,494200
5/20/1998,494200
5/27/1998,497708
6/3/1998,497708
6/10/1998,497652
6/17/1998,497652
6/24/1998,498693
7/1/1998,498693
7/8/1998,503295
7/15/1998,503295
7/22/1998,501496
7/29/1998,501496
8/5/1998,505031
8/12/1998,505031
8/19/1998,503610
8/26/1998,503610
9/2/1998,507988
9/9/1998,507988
9/16/1998,508297
9/23/1998,508297
9/30/1998,509954
10/7/1998,509954
10/14/1998,512858
10/21/1998,512858
10/28/1998,513944
11/4/1998,513944
11/11/1998,517026
11/18/1998,517026
11/25/1998,521361
12/2/1998,521361
12/9/1998,523111
12/16/1998,523111
12/23/1998,530109
12/30/1998,530109
1/6/1999,531695
1/13/1999,531695
1/20/1999,525480
1/27/1999,525480
2/3/1999,523810
2/10/1999,523810
2/17/1999,527231
2/24/1999,527231
3/3/1999,529876
3/10/1999,529876
3/17/1999,530752
3/24/1999,530752
3/31/1999,533158
4/7/1999,533158
4/14/1999,534908
4/21/1999,534908
4/28/1999,537146
5/5/1999,537146
5/12/1999,539548
5/19/1999,539548
5/26/1999,543319
6/2/1999,543319
6/9/1999,544177
6/16/1999,544177
6/23/1999,543956
6/30/1999,543956
7/7/1999,549077
7/14/1999,549077
7/21/1999,548233
7/28/1999,548233
8/4/1999,550333
8/11/1999,550333
8/18/1999,550681
8/25/1999,550681
9/1/1999,554834
9/8/1999,554834
9/15/1999,557042
9/22/1999,557042
9/29/1999,558448
10/6/1999,558448
10/13/1999,564178
10/20/1999,564178
10/27/1999,568675
11/3/1999,568675
11/10/1999,578945
11/17/1999,578945
11/24/1999,590114
12/1/1999,590114
12/8/1999,600914
12/15/1999,600914
12/22/1999,623631
12/29/1999,623631
1/5/2000,626869
1/12/2000,626869
1/19/2000,588940
1/26/2000,588940
2/2/2000,578062
2/9/2000,578062
2/16/2000,578414
2/23/2000,578414
3/1/2000,577087
3/8/2000,577087
3/15/2000,576894
3/22/2000,576894
3/29/2000,577451
4/5/2000,577451
4/12/2000,578619
4/19/2000,578619
4/26/2000,579066
5/3/2000,579066
5/10/2000,580064
5/17/2000,580064
5/24/2000,581368
5/31/2000,581368
6/7/2000,582432
6/14/2000,582432
6/21/2000,580846
6/28/2000,580846
7/5/2000,586458
7/12/2000,586458
7/19/2000,582690
7/26/2000,582690
8/2/2000,583147
8/9/2000,583147
8/16/2000,582921
8/23/2000,582921
8/30/2000,584612
9/6/2000,584612
9/13/2000,583927
9/20/2000,583927
9/27/2000,582991
10/4/2000,582991
10/11/2000,585945
10/18/2000,585945
10/25/2000,585201
11/1/2000,585201
11/8/2000,587816
11/15/2000,587816
11/22/2000,592856
11/29/2000,592856
12/6/2000,593716
12/13/2000,593716
12/20/2000,600515
12/27/2000,600515
1/3/2001,605483
1/10/2001,605483
1/17/2001,596914
1/24/2001,596914
1/31/2001,592435
2/7/2001,592435
2/14/2001,596503
2/21/2001,596503
2/28/2001,598050
3/7/2001,598050
3/14/2001,598898
3/21/2001,598898
3/28/2001,600135
4/4/2001,600135
4/11/2001,601536
4/18/2001,601536
4/25/2001,602482
5/2/2001,602482
5/9/2001,604094
5/16/2001,604094
5/23/2001,608044
5/30/2001,608044
6/6/2001,608620
6/13/2001,608620
6/20/2001,608399
6/27/2001,608399
7/4/2001,614420
7/11/2001,614420
7/18/2001,615907
7/25/2001,615907
8/1/2001,619032
8/8/2001,619032
8/15/2001,621467
8/22/2001,621467
8/29/2001,626940
9/5/2001,626940
9/12/2001,667412
9/19/2001,667412
9/26/2001,630748
10/3/2001,630748
